location,date,tempC,growth_stage,block,plot_id,treatment,transect,plant_num,damage_score,damage_type
PA,6/16/2021,15.53,V3,1,101,1,1,1,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,2,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,3,0,na
PA,6/16/2021,15.53,V3,1,101,1,1,4,0,na
PA,6/16/2021,15.53,V3,1,101,1,1,5,0,na
PA,6/16/2021,15.53,V3,1,101,1,1,6,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,7,0,na
PA,6/16/2021,15.53,V3,1,101,1,1,8,0,na
PA,6/16/2021,15.53,V3,1,101,1,1,9,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,10,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,11,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,12,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,13,0,na
PA,6/16/2021,15.53,V3,1,101,1,1,14,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,15,0,na
PA,6/16/2021,15.53,V3,1,101,1,1,16,0,na
PA,6/16/2021,15.53,V3,1,101,1,1,17,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,18,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,19,1,s
PA,6/16/2021,15.53,V3,1,101,1,1,20,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,1,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,2,0,na
PA,6/16/2021,15.53,V3,1,101,1,2,3,0,na
PA,6/16/2021,15.53,V3,1,101,1,2,4,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,5,0,na
PA,6/16/2021,15.53,V3,1,101,1,2,6,0,na
PA,6/16/2021,15.53,V3,1,101,1,2,7,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,8,0,na
PA,6/16/2021,15.53,V3,1,101,1,2,9,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,10,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,11,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,12,0,na
PA,6/16/2021,15.53,V3,1,101,1,2,13,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,14,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,15,1,bcw
PA,6/16/2021,15.53,V3,1,101,1,2,16,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,17,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,18,1,s
PA,6/16/2021,15.53,V3,1,101,1,2,19,0,na
PA,6/16/2021,15.53,V3,1,101,1,2,20,0,na
PA,6/16/2021,15.53,V3,1,101,1,3,1,1,s
PA,6/16/2021,15.53,V3,1,101,1,3,2,1,s
PA,6/16/2021,15.53,V3,1,101,1,3,3,0,na
PA,6/16/2021,15.53,V3,1,101,1,3,4,1,s
PA,6/16/2021,15.53,V3,1,101,1,3,5,0,na
PA,6/16/2021,15.53,V3,1,101,1,3,6,0,na
PA,6/16/2021,15.53,V3,1,101,1,3,7,2,s
PA,6/16/2021,15.53,V3,1,101,1,3,8,0,na
